train_number,station,time
108,Tamien,08:28 AM
109,Tamien,06:52 AM
109,San Jose Diridon,06:58 AM
109,Santa Clara,07:04 AM
109,Lawrence,07:09 AM
109,Sunnyvale,07:12 AM
109,Mountain View,07:16 AM
109,San Antonio,07:19 AM
109,California Avenue,07:22 AM
109,Palo Alto,07:25 AM
109,Menlo Park,07:28 AM
109,Redwood City,07:33 AM
109,San Carlos,07:37 AM
109,Belmont,07:39 AM
109,Hillsdale,07:42 AM
109,Hayward Park,07:45 AM
109,San Mateo,07:47 AM
109,Burlingame,07:50 AM
109,Millbrae,07:54 AM
109,San Bruno,07:57 AM
109,S. San Francisco,08:00 AM
109,Bayshore,08:05 AM
109,22Nd Street,08:10 AM
109,San Francisco,08:16 AM
110,San Francisco,07:25 AM
110,22Nd Street,07:30 AM
110,Bayshore,07:34 AM
110,S. San Francisco,07:40 AM
110,San Bruno,07:43 AM
110,Millbrae,07:46 AM
110,Burlingame,07:50 AM
110,San Mateo,07:53 AM
110,Hayward Park,07:55 AM
110,Hillsdale,07:57 AM
110,Belmont,08:01 AM
110,San Carlos,08:03 AM
110,Redwood City,08:07 AM
110,Menlo Park,08:11 AM
110,Palo Alto,08:14 AM
110,California Avenue,08:17 AM
110,San Antonio,08:21 AM
110,Mountain View,08:24 AM
110,Sunnyvale,08:28 AM
110,Lawrence,08:31 AM
110,Santa Clara,08:36 AM
110,San Jose Diridon,08:42 AM
111,San Jose Diridon,07:28 AM
111,Santa Clara,07:34 AM
111,Lawrence,07:39 AM
111,Sunnyvale,07:42 AM
111,Mountain View,07:46 AM
111,San Antonio,07:49 AM
111,California Avenue,07:52 AM
111,Palo Alto,07:55 AM
111,Menlo Park,07:58 AM
111,Redwood City,08:03 AM
111,San Carlos,08:07 AM
111,Belmont,08:09 AM
111,Hillsdale,08:12 AM
111,Hayward Park,08:15 AM
111,San Mateo,08:17 AM
111,Burlingame,08:20 AM
111,Millbrae,08:24 AM
111,San Bruno,08:27 AM
111,S. San Francisco,08:30 AM
111,Bayshore,08:35 AM
111,22Nd Street,08:40 AM
111,San Francisco,08:46 AM
112,San Francisco,07:55 AM
112,22Nd Street,08:00 AM
112,Bayshore,08:04 AM
112,S. San Francisco,08:10 AM
