fiscal_quarter,category,line_item,amount,is_total
Q1 FY2025,Other,"Property and equipment, net",263667.0,False
Q1 FY2025,Assets,"Intangible assets, net",307967.0,False
Q1 FY2025,Deferred Items,Total assets,7298018.0,True
Q1 FY2025,Liabilities,"Operating lease liabilities, current",30940.0,False
Q1 FY2025,Deferred Items,Total current liabilities,2428823.0,True
Q1 FY2025,Deferred Items,"Operating lease liabilities, non-current",247501.0,False
Q1 FY2025,Deferred Items,Total liabilities,2730326.0,True
Q1 FY2025,Other,Accumulated other comprehensive loss,-15713.0,False
Q1 FY2025,Other,Accumulated deficit,-4908921.0,False
Q1 FY2025,Other,Total Snowflake Inc. stockholders’ equity,4558234.0,True
Q1 FY2025,Other,Total stockholders’ equity,4567692.0,True
Q1 FY2025,Other,Total liabilities and stockholders’ equity,7298018.0,True
